Date,Open,High,Low,Close,Adj Close,Volume
1996-02-01,550.000000,550.000000,375.000000,10.125000,405.000000,24600
1996-03-01,405.000000,405.000000,350.000000,9.000000,360.000000,7300
1996-04-01,370.000000,370.000000,205.000000,7.375000,295.000000,21300
1996-05-01,310.000000,350.000000,295.000000,7.750000,310.000000,19300
1996-06-01,310.000000,475.000000,305.000000,11.687500,467.500000,26300
1996-07-01,440.000000,475.000000,305.000000,8.125000,325.000000,24400
1996-08-01,335.000000,360.000000,275.000000,8.750000,350.000000,18700
1996-09-01,345.000000,360.000000,265.000000,7.750000,310.000000,20400
1996-10-01,320.000000,345.000000,285.000000,7.875000,315.000000,17200
1996-11-01,305.000000,325.000000,280.000000,8.000000,320.000000,12600
1996-12-01,300.000000,320.000000,210.000000,5.875000,235.000000,13000
1997-01-01,235.000000,345.000000,225.000000,6.000000,240.000000,22300
1997-02-01,240.000000,290.000000,230.000000,6.750000,270.000000,20300
1997-03-01,280.000000,315.000000,235.000000,6.500000,260.000000,27900
1997-04-01,235.000000,285.000000,215.000000,5.500000,220.000000,32200
1997-05-01,220.000000,270.000000,215.000000,6.500000,260.000000,22900
1997-06-01,265.000000,265.000000,200.000000,5.000000,200.000000,22300
1997-07-01,205.000000,225.000000,90.000000,3.187500,127.500000,52100
1997-08-01,125.000000,127.500000,105.000000,2.937500,117.500000,33300
1997-09-01,125.000000,125.000000,60.000000,1.937500,77.500000,96900
1997-10-01,77.500000,78.750000,45.000000,1.500000,60.000000,66000
1997-11-01,60.000000,62.500000,47.500000,1.406250,56.250000,14000
1997-12-01,53.750000,56.250000,21.000000,0.600000,24.000000,29000
1998-01-01,25.000000,27.000000,8.000000,1.500000,12.000000,40500
1998-02-01,12.000000,24.375000,10.375000,2.500000,20.000000,17000
1998-03-01,20.000000,21.000000,16.000000,2.500000,20.000000,9800
1998-04-01,20.000000,20.000000,15.000000,2.312500,18.500000,9300
1998-05-01,19.000000,22.000000,16.375000,2.375000,19.000000,58200
1998-06-01,19.000000,20.000000,13.000000,2.500000,20.000000,20300
1998-07-01,20.250000,20.250000,9.000000,1.250000,10.000000,40100
1998-08-01,10.000000,16.000000,10.000000,1.500000,12.000000,10600
1998-09-01,11.375000,19.000000,10.000000,2.250000,18.000000,19900
1998-10-01,18.250000,26.000000,15.500000,3.000000,24.000000,62900
1998-11-01,23.500000,24.000000,17.000000,2.375000,19.000000,9400
1998-12-01,19.000000,20.500000,9.000000,1.625000,13.000000,23600
1999-01-01,10.000000,14.000000,8.000000,1.250000,10.000000,18400
1999-02-01,10.000000,15.750000,10.000000,1.437500,11.500000,11800
1999-03-01,11.500000,14.000000,9.000000,1.375000,11.000000,13600
1999-04-01,11.000000,12.000000,9.500000,1.218750,9.750000,6000
1999-05-01,9.750000,11.500000,6.000000,0.937500,7.500000,48800
1999-06-01,7.000000,7.500000,2.000000,0.562500,4.500000,98000
1999-07-01,4.500000,12.000000,3.500000,0.718750,5.750000,61800
1999-08-01,6.000000,7.000000,3.500000,0.437500,3.500000,32400
1999-09-01,3.000000,5.000000,2.750000,0.437500,3.500000,28600
1999-10-01,3.000000,6.000000,3.000000,0.531250,4.250000,74900
1999-11-01,4.500000,5.750000,3.750000,0.562500,4.500000,22300
1999-12-01,4.500000,16.000000,4.250000,1.015625,8.125000,285800
2000-01-01,8.125000,27.750000,6.750000,2.000000,16.000000,225100
2000-02-01,15.500000,55.000000,11.000000,4.937500,39.500000,529300
2000-03-01,39.000000,43.000000,16.000000,2.437500,19.500000,408000
2000-04-01,19.500000,27.500000,13.000000,1.625000,13.000000,147100
2000-05-01,13.000000,17.000000,6.000000,0.937500,7.500000,142300
2000-06-01,7.500000,17.000000,7.500000,1.187500,9.500000,325200
2000-07-01,10.000000,10.500000,7.000000,0.875000,7.000000,209900
2000-08-01,7.000000,8.500000,4.000000,0.843750,6.750000,140400
2000-09-01,6.500000,8.000000,5.500000,0.968750,7.750000,71600
2000-10-01,7.750000,8.125000,5.500000,0.843750,6.750000,66000
2000-11-01,6.125000,8.000000,4.000000,0.500000,4.000000,137300
2000-12-01,5.000000,5.250000,2.250000,0.421875,3.375000,146500
2001-01-01,3.375000,5.625000,3.250000,0.593750,4.750000,74300
2001-02-01,4.875000,5.750000,3.875000,0.625000,5.000000,103300
2001-03-01,4.625000,5.500000,3.500000,0.546875,4.375000,121200
2001-04-01,3.250000,6.000000,3.250000,0.700000,5.600000,104600
2001-05-01,7.520000,12.080000,5.760000,1.410000,11.280000,196000
2001-06-01,10.960000,11.680000,7.760000,1.200000,9.600000,100900
2001-07-01,9.440000,10.400000,5.600000,1.030000,8.240000,169800
2001-08-01,7.920000,9.680000,6.560000,1.100000,8.800000,148300
2001-09-01,9.360000,10.000000,5.760000,0.930000,7.440000,43600
2001-10-01,7.440000,9.280000,5.680000,1.040000,8.320000,54300
2001-11-01,8.320000,13.120000,7.760000,1.500000,12.000000,235300
2001-12-01,12.240000,16.080000,11.040000,1.450000,11.600000,193900
2002-01-01,12.080000,14.800000,12.080000,1.600000,12.800000,134600
2002-02-01,12.720000,13.440000,11.040000,1.580000,12.640000,70800
2002-03-01,11.600000,12.480000,9.840000,1.370000,10.960000,106600
2002-04-01,10.640000,11.920000,9.840000,1.390000,11.120000,124100
2002-05-01,10.800000,11.600000,7.600000,1.070000,8.560000,123600
2002-06-01,8.320000,11.440000,7.360000,1.160000,9.280000,192700
2002-07-01,9.280000,9.840000,6.640000,1.010000,8.080000,115600
2002-08-01,8.080000,8.080000,5.360000,0.770000,6.160000,55500
2002-09-01,5.840000,8.080000,4.720000,0.830000,6.640000,112300
2002-10-01,6.640000,8.320000,5.200000,0.950000,7.600000,63000
2002-11-01,7.040000,10.000000,6.560000,0.990000,7.920000,92600
2002-12-01,7.280000,7.360000,4.960000,0.700000,5.600000,127000
2003-01-01,5.520000,8.080000,5.200000,0.760000,6.080000,60300
2003-02-01,6.080000,7.040000,5.600000,0.840000,6.720000,57200
2003-03-01,6.080000,6.880000,5.360000,0.700000,5.600000,57100
2003-04-01,5.600000,7.040000,5.600000,0.820000,6.560000,126400
2003-05-01,6.400000,7.680000,6.160000,0.920000,7.360000,59000
2003-06-01,7.440000,8.880000,6.400000,0.830000,6.640000,120600
2003-07-01,6.560000,8.320000,6.240000,1.000000,8.000000,90700
2003-08-01,7.600000,8.160000,6.960000,1.000000,8.000000,89000
2003-09-01,8.320000,14.480000,7.840000,1.180000,9.440000,771000
2003-10-01,9.520000,9.600000,7.600000,1.090000,8.720000,330600
2003-11-01,8.800000,10.160000,8.160000,1.260000,10.080000,209200
2003-12-01,10.240000,13.200000,8.000000,1.140000,9.120000,454400
2004-01-01,8.960000,9.920000,8.160000,1.150000,9.200000,351200
2004-02-01,9.040000,11.200000,8.560000,1.240000,9.920000,716100
2004-03-01,10.000000,12.080000,7.360000,1.010000,8.080000,316300
2004-04-01,8.400000,8.800000,5.360000,0.720000,5.760000,1176700
2004-05-01,5.840000,6.240000,4.240000,0.640000,5.120000,393700
2004-06-01,4.960000,5.840000,4.080000,0.650000,5.200000,359800
2004-07-01,5.200000,5.200000,3.600000,0.470000,3.760000,221800
2004-08-01,3.840000,4.720000,2.880000,0.540000,4.320000,277200
2004-09-01,4.320000,5.520000,3.840000,0.630000,5.040000,292600
2004-10-01,5.040000,5.440000,3.920000,0.550000,4.400000,176600
2004-11-01,4.240000,4.320000,3.360000,0.520000,4.160000,293800
2004-12-01,4.160000,4.400000,3.200000,0.480000,3.840000,563900
2005-01-01,4.000000,9.200000,3.600000,0.630000,5.040000,1607000
2005-02-01,5.360000,5.760000,4.240000,0.580000,4.640000,551900
2005-03-01,4.720000,5.440000,4.240000,0.590000,4.720000,317900
2005-04-01,4.640000,5.440000,4.080000,0.590000,4.720000,280900
2005-05-01,4.720000,6.080000,4.400000,0.740000,5.920000,566200
2005-06-01,6.400000,6.640000,4.240000,0.530000,4.240000,443100
2005-07-01,4.320000,4.640000,3.760000,0.510000,4.080000,233500
2005-08-01,3.920000,4.400000,3.440000,0.470000,3.760000,245100
2005-09-01,3.760000,5.760000,3.600000,0.670000,5.360000,606300
2005-10-01,5.280000,6.720000,5.200000,0.770000,6.160000,1100000
2005-11-01,6.240000,6.400000,4.800000,0.690000,5.520000,395000
